Date,City,District,State,Cases,Latitude,Longitude
2025-08-07,Bangalore,Bangalore Urban,Karnataka,21,12.9716,77.5946
2025-08-07,Mysore,Mysore,Karnataka,9,12.2958,76.6394
2025-08-07,Hubli,Dharwad,Karnataka,7,15.3647,75.124
2025-08-07,Mangalore,Dakshina Kannada,Karnataka,0,12.9141,74.856
2025-08-07,Belgaum,Belgaum,Karnataka,17,15.8497,74.4977
2025-08-07,Tumkur,Tumkur,Karnataka,1,13.3422,77.101
2025-08-06,Bangalore,Bangalore Urban,Karnataka,16,12.9716,77.5946
2025-08-06,Mysore,Mysore,Karnataka,9,12.2958,76.6394
2025-08-06,Hubli,Dharwad,Karnataka,3,15.3647,75.124
2025-08-06,Mangalore,Dakshina Kannada,Karnataka,12,12.9141,74.856
2025-08-06,Belgaum,Belgaum,Karnataka,8,15.8497,74.4977
2025-08-06,Tumkur,Tumkur,Karnataka,7,13.3422,77.101
2025-08-05,Bangalore,Bangalore Urban,Karnataka,5,12.9716,77.5946
2025-08-05,Mysore,Mysore,Karnataka,15,12.2958,76.6394
2025-08-05,Hubli,Dharwad,Karnataka,6,15.3647,75.124
2025-08-05,Mangalore,Dakshina Kannada,Karnataka,25,12.9141,74.856
2025-08-05,Belgaum,Belgaum,Karnataka,20,15.8497,74.4977
2025-08-05,Tumkur,Tumkur,Karnataka,25,13.3422,77.101
2025-08-04,Bangalore,Bangalore Urban,Karnataka,0,12.9716,77.5946
2025-08-04,Mysore,Mysore,Karnataka,21,12.2958,76.6394
2025-08-04,Hubli,Dharwad,Karnataka,24,15.3647,75.124
2025-08-04,Mangalore,Dakshina Kannada,Karnataka,15,12.9141,74.856
2025-08-04,Belgaum,Belgaum,Karnataka,15,15.8497,74.4977
2025-08-04,Tumkur,Tumkur,Karnataka,22,13.3422,77.101
2025-08-03,Bangalore,Bangalore Urban,Karnataka,6,12.9716,77.5946
2025-08-03,Mysore,Mysore,Karnataka,1,12.2958,76.6394
2025-08-03,Hubli,Dharwad,Karnataka,22,15.3647,75.124
2025-08-03,Mangalore,Dakshina Kannada,Karnataka,5,12.9141,74.856
2025-08-03,Belgaum,Belgaum,Karnataka,21,15.8497,74.4977
2025-08-03,Tumkur,Tumkur,Karnataka,10,13.3422,77.101
2025-08-02,Bangalore,Bangalore Urban,Karnataka,25,12.9716,77.5946
2025-08-02,Mysore,Mysore,Karnataka,3,12.2958,76.6394
2025-08-02,Hubli,Dharwad,Karnataka,7,15.3647,75.124
2025-08-02,Mangalore,Dakshina Kannada,Karnataka,11,12.9141,74.856
2025-08-02,Belgaum,Belgaum,Karnataka,18,15.8497,74.4977
2025-08-02,Tumkur,Tumkur,Karnataka,5,13.3422,77.101
2025-08-01,Bangalore,Bangalore Urban,Karnataka,23,12.9716,77.5946
2025-08-01,Mysore,Mysore,Karnataka,12,12.2958,76.6394
2025-08-01,Hubli,Dharwad,Karnataka,13,15.3647,75.124
2025-08-01,Mangalore,Dakshina Kannada,Karnataka,0,12.9141,74.856
2025-08-01,Belgaum,Belgaum,Karnataka,16,15.8497,74.4977
2025-08-01,Tumkur,Tumkur,Karnataka,3,13.3422,77.101
2025-07-31,Bangalore,Bangalore Urban,Karnataka,10,12.9716,77.5946
2025-07-31,Mysore,Mysore,Karnataka,9,12.2958,76.6394
2025-07-31,Hubli,Dharwad,Karnataka,4,15.3647,75.124
2025-07-31,Mangalore,Dakshina Kannada,Karnataka,20,12.9141,74.856
2025-07-31,Belgaum,Belgaum,Karnataka,11,15.8497,74.4977
2025-07-31,Tumkur,Tumkur,Karnataka,19,13.3422,77.101
2025-07-30,Bangalore,Bangalore Urban,Karnataka,1,12.9716,77.5946
2025-07-30,Mysore,Mysore,Karnataka,3,12.2958,76.6394
2025-07-30,Hubli,Dharwad,Karnataka,1,15.3647,75.124
2025-07-30,Mangalore,Dakshina Kannada,Karnataka,2,12.9141,74.856
2025-07-30,Belgaum,Belgaum,Karnataka,25,15.8497,74.4977
