Date,City,District,State,Temperature(C),Humidity(%),Rainfall(mm),Latitude,Longitude
8/1/2025,Belgaum,Belagavi,Karnataka,25.3,83,10.2,15.8497,74.4977
8/2/2025,Belgaum,Belagavi,Karnataka,24.3,86,11,15.8497,74.4977
8/3/2025,Hubli,Dharwad,Karnataka,25.2,91,8.4,15.3647,75.124
8/4/2025,Mysore,Mysore,Karnataka,27.6,75,6,12.2958,76.6394
8/5/2025,Bangalore,Bangalore Urban,Karnataka,29.3,83,14.6,12.9716,77.5946
8/6/2025,Mangalore,Dakshina Kannada,Karnataka,25.8,79,16.1,12.9141,74.856
8/7/2025,Mangalore,Dakshina Kannada,Karnataka,28.5,79,12.7,12.9141,74.856
8/8/2025,Bangalore,Bangalore Urban,Karnataka,26.4,62,14.3,12.9716,77.5946
8/9/2025,Mangalore,Dakshina Kannada,Karnataka,25.9,65,18.4,12.9141,74.856
8/10/2025,Bangalore,Bangalore Urban,Karnataka,31.2,90,0.8,12.9716,77.5946
8/11/2025,Mysore,Mysore,Karnataka,28.1,71,0.3,12.2958,76.6394
8/12/2025,Bangalore,Bangalore Urban,Karnataka,29.9,72,14,12.9716,77.5946
8/13/2025,Mangalore,Dakshina Kannada,Karnataka,31.2,73,8.9,12.9141,74.856
8/14/2025,Bangalore,Bangalore Urban,Karnataka,27,81,19.9,12.9716,77.5946
8/15/2025,Belgaum,Belagavi,Karnataka,30.1,61,1.2,15.8497,74.4977
8/16/2025,Mysore,Mysore,Karnataka,28.5,70,17.5,12.2958,76.6394
8/17/2025,Shimoga,Shivamogga,Karnataka,28.8,87,5.1,13.9299,75.5681
8/18/2025,Mangalore,Dakshina Kannada,Karnataka,29.6,91,11.6,12.9141,74.856
8/19/2025,Mysore,Mysore,Karnataka,31.7,84,5.6,12.2958,76.6394
8/20/2025,Mysore,Mysore,Karnataka,29.9,63,10.8,12.2958,76.6394
8/21/2025,Mangalore,Dakshina Kannada,Karnataka,29.1,75,18.2,12.9141,74.856
8/22/2025,Mysore,Mysore,Karnataka,27.7,81,5.6,12.2958,76.6394
8/23/2025,Mangalore,Dakshina Kannada,Karnataka,30,65,16.9,12.9141,74.856
8/24/2025,Hubli,Dharwad,Karnataka,25.9,68,2.3,15.3647,75.124
8/25/2025,Shimoga,Shivamogga,Karnataka,30,81,9.2,13.9299,75.5681
8/26/2025,Belgaum,Belagavi,Karnataka,24.1,72,10.4,15.8497,74.4977
8/27/2025,Bangalore,Bangalore Urban,Karnataka,26.3,70,16.9,12.9716,77.5946
8/28/2025,Mangalore,Dakshina Kannada,Karnataka,26.3,61,0.4,12.9141,74.856
8/29/2025,Shimoga,Shivamogga,Karnataka,30.4,95,4.8,13.9299,75.5681
8/30/2025,Belgaum,Belagavi,Karnataka,25.5,92,2.3,15.8497,74.4977
